case_id,title,symptome,topology,expected-fault,osi_layer,concept,severity,expected_next_command,expected_fix
NET-001,Wrong VLAN Assignment,PC1 cannot reach its default gateway,PC1-SW1-R1,Wrong VLAN assignment,Layer 2,VLAN,High,show vlan brief,Assign SW1 Fa0/1 to VLAN 10
NET-002,Trunk Disabled,PC1 cannot reach its default gateway,PC1-Switch0-Router0,Trunk not configured on Switch0 Fa0/4,Layer 2,Trunking / 802.1Q,High,show interfaces trunk,Configure Switch0 Fa0/4 as a trunk
NET-003,VLAN 30 Missing,Device on Fa0/3 cannot communicate with the VLAN 30 gateway,Device/Server1-Switch0-Router0,VLAN 30 has been deleted from Switch0,Layer 2,VLAN,High,show vlan brief,Recreate VLAN 30 and assign Fa0/3 to VLAN 30
NET-004,VLAN 30 Not Allowed on Trunk,Device on Fa0/3 cannot communicate with the VLAN 30 gateway,Device/Server1-Switch0-Router0,VLAN 30 is not allowed on Switch0 Fa0/4 trunk,Layer 2,VLAN Trunking / 802.1Q,High,show interfaces trunk,Allow VLAN 30 on Switch0 Fa0/4 trunk
NET-005,Access Port in Trunk Mode,Device on Fa0/3 cannot communicate correctly with VLAN 30,Device/Server1-Switch0-Router0,Switch0 Fa0/3 is incorrectly configured as a trunk,Layer 2,Access Port / Trunking / VLAN,High,show interfaces trunk,Configure Fa0/3 as an access port and assign it to VLAN 30
NET-006,VLAN 30 Router Subinterface Shutdown,Device in VLAN 30 cannot communicate with its default gateway,Device/Server1-Switch0-Router0,VLAN 30 router subinterface G0/0/0.30 is administratively down,Layer 3,Router-on-a-Stick / Inter-VLAN Routing,High,show ip interface brief,Enable Router0 G0/0/0.30 with no shutdown
NET-007,Wrong IP Address on VLAN 30 Gateway,Device in VLAN 30 cannot communicate with its expected default gateway,Device/Server1-Switch0-Router0,Wrong IP address configured on Router0 G0/0/0.30,Layer 3,IP Addressing / Router-on-a-Stick,High,show ip interface brief,Change G0/0/0.30 IP address back to 192.168.30.1
NET-008,Wrong PC Default Gateway,PC can reach local gateway but cannot communicate with remote VLAN,PC2-Switch0-Router0,PC default gateway is incorrectly configured as 192.168.20.254,Layer 3,IP Addressing / Default Gateway / Routing,High,ipconfig,Change PC default gateway to 192.168.20.1
NET-009,ACL Blocking Specific Host,PC 192.168.20.10 can reach its gateway 192.168.20.1 but cannot reach 192.168.30.10,PC1-Switch0-Router0-Switch1-PC2,ACL blocks traffic from source host 192.168.20.10 to destination host 192.168.30.10,Layer 3,Extended ACL,High,show access-lists,Configure ACL 101 to deny 192.168.20.10 to 192.168.30.10 and permit all other IP traffic
NET-010,Router VLAN 10 Subinterface Shutdown,PC in VLAN 10 cannot reach its default gateway 192.168.10.1,PC-VLAN10-Switch0-Router0,GigabitEthernet0/0/0.10 is administratively down because shutdown is configured,Layer 3,Router-on-a-Stick / Interface State,High,show ip interface brief,Enter interface GigabitEthernet0/0/0.10 and use no shutdown
NET-011,NAT Inside/Outside Misconfiguration,Static NAT mapping exists for 192.168.20.10 to 192.168.30.100 but NAT interface roles are incorrectly configured,PC1-Switch0-Router0-VLAN30,G0/0/0.20 is incorrectly configured as NAT outside instead of NAT inside,Layer 3,NAT,High,show ip nat statistics,Configure G0/0/0.20 with no ip nat outside followed by ip nat inside and keep G0/0/0.30 as ip nat outside
NET-012,DHCP Wrong Network Configuration,VLAN 30 PC cannot obtain a valid DHCP address and shows 0.0.0.0,PC-VLAN30-Switch0-Router0,DHCP pool is configured for 192.168.40.0/24 instead of the actual VLAN 30 network 192.168.30.0/24,Layer 3,DHCP,High,show ip dhcp pool,Change the DHCP pool network to 192.168.30.0 255.255.255.0 and default gateway to 192.168.30.1
NET-013,Correct VLAN Assignment - Reference Case,PC1 can communicate through the correctly assigned VLAN,PC1-Switch0-Router0,No fault - correct VLAN assignment,Layer 2,VLAN,Low,show vlan brief,No fix required - VLAN assignment is correct
NET-014,Correct Trunk Configuration - Reference Case,Trunk link is operational and required VLANs are allowed,Switch0-Router0,No fault - correct 802.1Q trunk configuration,Layer 2,Trunking / 802.1Q,Low,show interfaces trunk,No fix required - trunk configuration is correct
NET-015,DHCP Scope Mismatch,PC0 and PC1 get incorrect DHCP addresses,PC0-PC1-Router0,DHCP pool network statement does not match the intended LAN network,Layer 3,DHCP Scope Mismatch,High,show running-config | section dhcp,Reconfigure the DHCP pool network to 192.168.10.0 255.255.255.0 or correct the router interface network
NET-016,Incorrect DHCP DNS Server IP,PC0 can ping the DNS server IP directly but DNS name resolution fails,PC0-Switch0-Router0-Server0,DHCP pool distributes an incorrect DNS server address,Layer 7,DNS Server Misconfiguration,Medium,show running-config | section dhcp,Change dns-server to 192.168.10.50 under the DHCP pool
NET-017,Router LAN Interface Administratively Down,PC0 and PC1 lose connectivity to the gateway,PC0-PC1-Switch0-Router0,GigabitEthernet0/0/0 has been administratively shut down,Layer 2,Interface Down,High,show ip interface brief,Enter interface GigabitEthernet0/0/0 and issue no shutdown
NET-018,Inactive DNS Service,PC0 can ping the DNS server but DNS name resolution fails,PC0-Router0-Server0,DNS service is disabled on Server0,Layer 7,DNS Service Disabled,Medium,nslookup example.com 192.168.10.50,Enable the DNS service on Server0
NET-019,Wireless Security Key Mismatch,Laptop0 is unable to connect to the wireless network,Laptop0-AP0-Switch0-Router0,WPA2-PSK passphrase on Laptop0 does not match the access point,Layer 2,Wireless Security Mismatch,High,Laptop0 > Config > Wireless0,Update Laptop0 WPA2-PSK passphrase to match the AP
NET-020,Missing Access Control List for Guest,Guest Wi-Fi clients can access the internal network,Laptop0-Guest-AP0-Switch0-Router0-Server0,Inbound guest-isolation ACL is missing,Layer 3,ACL Guest Isolation Missing,High,show running-config | section ip access-list,Apply an extended ACL blocking the guest subnet 192.168.20.0/24 from accessing the internal subnet 192.168.10.0/24 on the guest interface
NET-021,Guest Access Control List Enforced,Guest Wi-Fi clients cannot access the internal network,Laptop0-Guest-AP0-Switch0-Router0,Inbound extended ACL correctly blocks guest access to the internal network,Layer 3,ACL Guest Isolation Enforced,Low,show access-lists,No fix required; ACL is operating as intended
NET-022,Wireless Sticky Client Roaming Failure Due to High AP Power,Laptop0 retains connection to a distant access point instead of roaming to the closer AP,Laptop0-Client-AP0-AP1-Switch0,Access point transmit power or coverage range is too high causing sticky-client behavior,Layer 2,Wireless Sticky Client / Power Imbalance,Medium,check link metrics in PC Wireless,Reduce AP coverage or transmit power so the client can reassociate with the closer AP
