Case_ID,Title,Symptom,Topology,Expected_fault,OSI_Layer,Concept,Severity,Expected_next_Command,Expected_fix
,,,,,,,,,
Case-15,DHCP Scope Mismatch,"PC0 and PC1 get DHCP addresses and can reach each other, but cannot reach the router/gateway at all",PC0-PC1-Router0,DHCP pool network statement (192.168.20.0/24) does not match the router interface subnet (192.168.10.0/24),Layer 3,dhcp-scope-mismatch,High,show running-config | section dhcp,Reconfigure pool network to 192.168.10.0 255.255.255.0 or update Gi0/0 IP to match 192.168.20.1
Case-16,Incorrect DHCP DNS Server IP,"PC0 can ping the server IP directly, but fails to resolve domain names via ping or web browser",PC0-SW0-Router0-Server0,DHCP pool distributes an unreachable DNS server address (192.168.10.99),Layer 7,dns-server-misconfiguration,Medium,show running-config | section dhcp,Change dns-server to 192.168.10.50 under ip dhcp pool LANPOOL
Case-17,Router LAN Interface Administratively Down Blocking DHCP,PC0 and PC1 lose connectivity to the router/gateway. DHCP renew fails and pings to the gateway 192.168.10.1 time out.,PC0 PC1 -> Switch0 -> Router0 (GigabitEthernet0/0),GigabitEthernet0/0 has been administratively shut down so the interface and DHCP service through it is unavailable.,Layer 1/2,interface-down,High,show ip dhcp binding,Bring the interface back up with 'no shutdown' under GigabitEthernet0/0.
Case-18,Inactive DNS Service,"PC0 can successfully ping the DNS server IP (192.168.20.50), but domain resolution for example.com fails",PC0-Router0-Server0,DNS service is toggled Off on Server0 despite valid IP and record settings,Layer 7,dns-service-disabled,Medium,nslookup example.com 192.168.20.50,Enable DNS Service toggle switch to 'On' in Server0 settings
Case-19,Wireless Security Key Mismatch,Laptop0 is unable to connect to the Access Point wirelessly and loses network connectivity,Laptop0-AP0-SW0-Router0,WPA2-PSK passphrase on Laptop0 (WrongKey123) does not match AccessPoint0 (SecretKey123),Layer 2,wireless-security-mismatch,High,Laptop0 > Config > Wireless0 ,Update Laptop0 WPA2 PSK Passphrase to SecretKey123
Case-20,Missing Access Control List for Guest Wi-Fi Isolation,Guest Wi-Fi clients can access internal private assets,Laptop0-AP0-SW0-Router0-Server0,Inbound ACL missing on Guest sub-interface (Gi0/0.20),Layer 3,acl-guest-isolation-missing,High,show running-config | section ip access-list,Apply extended ACL blocking 192.168.20.0/24 to 192.168.10.0/24 on Gi0/0.20
Case-21,Available Access Control List for Guest Wi-Fi Isolation,Guest Wi-Fi clients cannot access internal private assets,"Laptop0 (Guest) -> AP0 -> Switch0 (VLAN 20) -> Router0 -> Switch0 (VLAN 10) -> Server0 (Internal),None",Inbound extended ACL BLOCK_GUEST_TO_INTERNAL applied on GigabitEthernet0/0.20 to restrict guest access to 192.168.10.0/24,Layer 3,acl-guest-isolation-enforced,Resolved,show access-lists,Applied ACL
Case-22,Sticky Client Roaming Failure Due to High Transmit Power,"Laptop0 retains connection to distant AccessPoint0 (-82 dBm, 1 bar) with severe latency instead of roaming to overhead AccessPoint1 (-42 dBm).",Laptop0 (Client) -> AccessPoint0 (Office-A) / AccessPoint1 (Conf-Room-B) -> Switch0,"AccessPoint0 coverage range is set to maximum (140m), causing RF cell bleed into AccessPoint1 coverage area, trapping client association",Layer 1/Layer 2,wireless-sticky-client-power-imbalance,Medium,check link metrics in PC Wireless / netsh wlan show interfaces,Lower AccessPoint0 coverage range to 30m-50m on Port 1 to shrink RF footprint and allow client re-association
Case-23,Static NAT Port Forwarding Success via Static IP Alignment,None (Normal Operation). Laptop0 successfully loads web page via http://203.0.113.1:8080,Laptop0-Router0-Switch0-Server0,None,Layer 3,Static NAT,None,show ip nat translations,No fix required. System operating as intended.
